id,municipio,nombre,direccion,lunesViernes,horarioSabado,horarioDomingo ,picoyCedula,pcLunes,pcMartes,pcMiercoles,pcJueves,pcViernes,pcSabado,pcDomingo,domicilioDirecto,whatsappDomicilio,telefono
,VALLEDUPAR,MAYALES,Carrera 35A No. 5F Esquina,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187120763,3232105505,5891019
,CURUMANÍ,CURUMANÍ,Calle 7 No. 17 - 60,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"1,3,5,7,9","0,2,4,6,8 ","1,3,5,7,9","0,2,4,6,8 ","1,3,5,7,9","0,2,4,6,8 ","1,3,5,7,9",3187120763,-,5891019
,VALLEDUPAR,SAO MEGAMALL,Calle 16 No. 19B - 56 L1,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187120763,3232078926,5891019
,OCAÑA,OCAÑA,Calle 10 No. 11 - 55 Local 1 CC Santa Marta,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 7:00 PM,1,"1,3,5,7,9","0,2,4,6,8 ","1,3,5,7,9","0,2,4,6,8 ","1,3,5,7,9","0,2,4,6,8 ","1,3,5,7,9",3155053618,-,5891019
,VALLEDUPAR,VALLEDUPAR,Carrera 9 No. 13C - 80,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187120763,3232105508,5891019
,VALLEDUPAR,PETROMIL,Diagonal 21 No. 19D - 20,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187120763,-,5891019
,CALI,ALAMEDA,Calle 9 No. 23C - 58,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 6:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3187120911,-,4850525
,CALI,SALOMIA,Carrera 3 No. 52 - 28,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3228169899,-,4850525
,CALI,LA BASE,Carrera 8 No. 58 - 100,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:30 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,-,4850525
,CALI,AV. TERCERA NORTE,Avenida 3a Norte No. 57 - 100,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,-,4850525
,CALI,TEQUENDAMA,Calle 6A No.  43-51,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3187119328,-,4850525
,CALI,MANZANARES,Calle 44  No. 2-95,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3187119306,3187174959,4850525
,CALI,VERSALLES,Avenida 4N No.  21N - 89,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3187119326,-,4850525
,CALI,BARRANQUILLA,Carrera 1D 1 No. 62 - 04,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3187119307,3232105511,4850525
,CALI,LOS CRISTALES,Carrera 25 Oeste No. 6 - 120,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,3232105518,4850525
,PALMIRA,PALMIRA,Calle 42 No 27 - 24,7:00 AM A 7:30 PM,7:00 AM A 7:30 PM,7:00 AM A 7:30 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,-,3187119229,2868950
,PALMIRA,SAO MARDEN 47,Calle 47 No. 33 - 01,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,3219134231,3232105519,2868950
,PALMIRA,SAO MARDEN BOSQUE,Carrera 1 con Tranversal 32 Este,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,3219134238,3187119222,2868950
,CALI,ALAMEDA 2,Calle 8 No. 26 - 39,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 5:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,3187121726,3232105516,4850525
,PALMIRA,PALMIRA UNICENTRO,C.C. Unicentro,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,1,2-4-6-8-0,N/A,N/A,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,-,3232105514,2868950
,CALI,GUADALUPE,Calle 18A No. 56 - 65,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,1-3-5-7-9,2-4-6-8-0,1-3-5-7-9,2-4-6-8-0,-,3187119282,4850525
