id,municipio,nombre,direccion,lunesViernes,horarioSabado,horarioDomingo ,picoyCedula,pcLunes,pcMartes,pcMiercoles,pcJueves,pcViernes,pcSabado,pcDomingo,domicilioDirecto,whatsappDomicilio,telefono
,PUERTO BOYACÁ,PUERTO BOYACÁ,Calle 24 No. 4 - 5,7:00 AM A 10:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3167429517,-,-
,LA DORADA CALDAS,LA DORADA CALDAS,Calle 17 No. 3 - 04,7:00 AM A 10:00 PM,8:00 AM A 2:00 PM,8:00 AM A 2:00 PM,1,N/A,N/A,N/A,N/A,"1,2,3,","4,5,6,","7,8,9,0",3165215931,-,-
,BOGOTA,SAO PLAZA DE LAS AMERICAS,Tranversal 64 A No 26 - 50 Sur,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,ROSALES,Carrera 7 No. 82 - 82,6:00 AM A 8:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3105704767,-,6064000
,BOGOTA,CLL 63,Calle 63 No. 16 - 25,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,NORMANDIA,Av Boyaca No. 53 - 12,6:00 AM A 8:00 PM,6:00 AM A 9:00 PM,7:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,SAO SUBA,Calle 140 No. 91 - 19,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,SAO CHAPINERO,Calle 63 A # 16-55,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3102213915,-,6064000
,BOGOTA,CHICO II,Carrera 15 No. 97 - 25,6:00 AM A 8:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,MODELO,Calle 69 # 44 - 20,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3187118987,-,6064000
,BOGOTA,CALLE 56,Carrera 13 No. 56 - 59,6:30 AM A 8:00 PM,6:30 AM A 9:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,SAO PORTAL DE LA 80,Av Calle 80 No.100 - 79 Portal de la 80,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,7 DE AGOSTO,Carrera 24 No. 63F - 5,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3102752227,-,6064000
,BOGOTA,CALLE 67,Calle 67 No. 10 - 22,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,COSMO 64,Calle 64 No. 11 - 05,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3164110380,-,6064000
,BOGOTA,AV. CHILE,Calle 72 No. 13 - 85,6:00 AM A 8:00 PM,6:00 AM A 9:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3102830089 - 3132501361,-,6064000
,BOGOTA,PLAZA,Calle 125 A No. 54 - 90,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3187119341,-,6064000
,LA CALERA,CALERA,Carrera 3 No. 6 - 56,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR",318711936 - 8601662,-,-
,BOGOTA,METROPOLIS,Carrera 68 No. 75A - 50 CC Metropolis,7:00 AM A 8:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3187121358,-,6064000
,BOGOTA,SUBA SALITRE,Carrera 92 No. 158 -04,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,LA DORADA CALDAS,LAS FERIAS,Carrera 4 No. 42 - 125,7:00 AM A 9:00 PM,8:00 AM A 2:00 PM,8:00 AM A 2:00 PM,1,N/A,N/A,N/A,N/A,"1,2,3,","4,5,6,","7,8,9,0",3154281210,-,-
,YOPAL,SAO YOPAL,Calle 24 No. 23 - 15,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,,N/A,N/A,-,-,6333535
,FUNZA,FUNZA Cr 13,Carrera 13 Calle16,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 7:30 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",,3134361376-3166918840,-,6064000
,SOACHA,PRADO VERDE,Transversal 40 No. 18 - 77 CC Prado verde,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 5:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,,3175031427,-,6064000
,BOGOTA,BOSA NOVA,Tranv 86B No. 60 - 37 Sur,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,SANTA ISABEL,Avenida 3A No. 29 - 69,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",3511006- 3187113168,-,6064000
,BOGOTA,AVENIDA,Carrera 4A No. 18 - 42,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 4:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,CENT NARIÑO,Carrera 40 No. 22 - 10,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,QUINTA RAMOS,Carrera 10 No 11 - 34 Sur,6:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,SOACHA,UNISUR,Carrera 3 No. 29 A - 02,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 5:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,,3187119120,-,6064000
,BOGOTA,JIMENEZ,Av Jimenez No. 4 - 74,6:00 AM A 8:00 PM,6:00 AM A 8:00 PM,8:00 AM A 4:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,KENNEDY,Carrera 74 No. 38 - 10 Sur,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,RESTREPO,Calle 16 Sur No. 16 - 43,6:30 AM A 9:00 PM,6:30 AM A 9:00 PM,8:30 AM A 6:30 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,VILLAVICENCIO,VILLACENTRO,Avenida 40 No. 16 B 159,7:00 AM A 8:00 PM,7:00 AM A 5:00 PM,7:00 AM A 5:00 PM,1,"DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR",-,-,6849872
,VILLAVICENCIO,CAMINO REAL,"Calle 35 No.11A - 50. L 1,2,3",7:00 AM A 8:00 PM,7:00 AM A 5:00 PM,7:00 AM A 5:00 PM,1,"DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR",-,-,6849872
,BOGOTA,BOSA METRORECREO,Carrera 97C Sur No.69A - 08,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,LA ESMERALDA,Diagonal 40 No. 45A - 04,7:00 AM A 7:00 PM,7:00 AM A 4:00 PM,CERRADO,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
,BOGOTA,KENNEDY 2,Calle 35 Sur 80 - 35,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,3183483724,6064000
,BOGOTA,RICAURTE,Calle 10 No. 27 - 56,7:00 AM A 8:00 PM,6:00 AM A 8:00 PM,8:00 AM A 4:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,3175171328,6064000
,BOGOTA,VENECIA,Diagonal 46 Sur 51 - 52,6:30 AM A 8:00 PM,6:30 AM A 8:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,3157004065,6064000
,BOGOTA,FONTIBON,Calle 27 No. 100-29,8:00 AM A 8:00 PM,8:00 AM A 8:00 PM,9:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,3153595373,6064000
,BOGOTA,GRAN PLAZA,Calle 65 Sur No. 78H - 51 L108,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,3157004230,6064000
,MADRID,CASABLANCA,Calle 7 No. 1A - 91 L01,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 7:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",,3164250112,3155823755,6064000
,SOACHA,SAO TERREROS,Carrera 1 No. 38 - 53 L1-21 CC. Ventura Terreros,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 5:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,,3188295570-6064000,-,6064000
,SOACHA,JARDIN VERDE,Carrera 70C entre Calles 97-98 CC Jardin Verde,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 5:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,,3173770754,-,6064000
,VILLAVICENCIO,EL UNICO,Carrera 22 No. 8C - 67 L28,8:00 AM A 8:00 PM,8:00 AM A 5:00 PM,8:00 AM A 5:00 PM,1,"DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR","DIA PAR CEDULA PAR, DIA IMPAR CEDULA IMPAR",-,-,6849872
,BOGOTA,AUTOGRANDE,Carrera 14 No. 11 - 32 Sur,6:30 AM A 9:00 PM,6:30 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR","DIA PAR CEDULA IMPAR, DIA IMPAR CEDULA PAR",-,-,6064000
